"ID_PARTICIPANTE";"DT_INICIO_BENEFICIO";"VL_VALOR"
"10123804";"14/10/2014";"3127,66"
"10123805";"03/07/2014";"3158,00"
"10123806";"14/06/2014";"4473,81"
"10123807";"16/10/2012";"3121,63"
"10123808";"20/09/2011";"2688,08"
"10123809";"30/06/2008";"2661,93"
"10123810";"13/01/2014";"3201,51"
"10123811";"06/04/2016";"3671,99"
"10123812";"09/11/2012";"3069,56"
"10123813";"18/07/2007";"2706,91"
"10123814";"16/06/2010";"3156,02"
"10123815";"08/01/2013";"3006,75"
"10123816";"27/08/2012";"2971,02"
"10123817";"01/02/2012";"2795,06"
"10123818";"02/03/2015";"2343,80"
"10123819";"29/12/2015";"3093,00"
"10123820";"18/12/2012";"2742,06"
"10123821";"27/07/2007";"2469,67"
"10123822";"09/08/2012";"3179,99"
"10123823";"21/06/2013";"3257,56"
"10123824";"30/09/2013";"3227,31"
"10123825";"08/04/2009";"2862,50"
"10123826";"22/08/2013";"3604,70"
"10123827";"10/03/2007";"2101,03"
"10123828";"17/10/2013";"3254,75"
"10123829";"10/07/2008";"2661,56"
"10123830";"11/09/2010";"2594,73"
"10123831";"01/06/2010";"2585,98"
"10123832";"10/04/2008";"2459,46"
"10123833";"09/12/2010";"2400,85"
"10123834";"26/03/2015";"3088,49"
"10123835";"25/08/2009";"2670,43"
"10123836";"16/02/2010";"2494,74"
"10123837";"25/11/2013";"3117,25"
"10123838";"15/04/2013";"3117,75"
"10123839";"10/07/2013";"2796,15"
"10123840";"12/07/2007";"2565,16"
"10123841";"24/02/2014";"3091,17"
"10123842";"11/01/2007";"2313,59"
"10123843";"24/04/2007";"2043,86"
"10123844";"04/08/2009";"2747,98"
"10123845";"09/08/2011";"2742,55"
"10123846";"31/10/2007";"2410,80"
"10123847";"04/01/2011";"2664,31"
"10123848";"02/07/2014";"2995,66"
"10123849";"02/12/2010";"2769,70"
"10123850";"22/12/2010";"2568,89"
"10123851";"23/02/2011";"2571,59"
"10123852";"24/04/2013";"2975,67"
"10123853";"18/02/2016";"4789,98"
"10123854";"29/11/2012";"3062,45"
"10123855";"26/09/2011";"2671,91"
"10123856";"31/03/2010";"2563,13"
"10123857";"23/03/2012";"2942,62"
"10123858";"25/03/2014";"3103,36"
"10123859";"16/07/2014";"2976,43"
"10123860";"18/08/2009";"2599,58"
"10123861";"10/09/2014";"3206,79"
"10123862";"09/05/2008";"1778,53"
"10123863";"09/03/2011";"2858,18"
"10123864";"01/09/2011";"2795,65"
"10123865";"23/01/2012";"2625,18"
"10123866";"23/04/2012";"2693,63"
"10123867";"20/12/2013";"2105,45"
"10123868";"06/03/2009";"2757,57"
"10123869";"25/06/2012";"2601,56"
"10123870";"24/02/2016";"3231,26"
"10123871";"01/10/2010";"2588,73"
"10123872";"21/07/2014";"2996,94"
"10123873";"15/06/2013";"3477,57"
"10123874";"23/01/2008";"4335,69"
"10123875";"16/07/2010";"2686,52"
"10123876";"01/03/2013";"2794,75"
"10123877";"09/05/2013";"2798,44"
"10123878";"03/03/2010";"2651,72"
"10123879";"11/07/2012";"2885,06"
"10123880";"08/06/2010";"2444,83"
"10123881";"22/06/2012";"2887,71"
"10123882";"25/08/2014";"2882,91"
"10123883";"08/05/2008";"2651,44"
"10123884";"06/02/2012";"2754,96"
"10123885";"01/08/2012";"3115,20"
"10123886";"24/09/2015";"3734,51"
"10123887";"30/06/2008";"2174,44"
"10123888";"28/07/2014";"3337,47"
"10123889";"17/02/2013";"2884,13"
"10123890";"21/06/2010";"2853,69"
"10123891";"07/10/2013";"2922,00"
"10123892";"29/04/2013";"3226,01"
"10123893";"08/08/2014";"2888,81"
"10123894";"22/04/2008";"2841,49"
"10123895";"04/05/2011";"2739,05"
"10123896";"06/10/2011";"4472,87"
"10123897";"04/08/2014";"3339,67"
"10123898";"06/08/2014";"3091,54"
"10123899";"02/02/2016";"3248,98"
"10123900";"24/11/2010";"2362,21"
"10123901";"23/04/2014";"4650,10"
"10123902";"15/03/2010";"2491,14"
"10123903";"29/04/2008";"2595,29"
"10123904";"10/10/2014";"3108,66"
"10123905";"27/04/2007";"2470,14"
"10123906";"11/11/2010";"4209,15"
"10123907";"22/07/2014";"3099,78"
"10123908";"11/08/2008";"2852,21"
"10123909";"05/08/2011";"2957,85"
"10123910";"24/03/2007";"1603,01"
"10123912";"09/12/2011";"2525,67"
"10123913";"10/12/2014";"3007,44"
"10123914";"16/12/2014";"3321,48"
"10123915";"06/08/2014";"3318,38"
"10123916";"01/09/2014";"3070,10"
"10123917";"20/08/2014";"3103,14"
"10123918";"14/05/2008";"2568,43"
"10123919";"14/04/2014";"3106,31"
"10123920";"06/03/2012";"2991,02"
"10123921";"09/12/2011";"3036,56"
"10123922";"18/07/2016";"3490,15"
"10123923";"19/07/2013";"3243,62"
"10123924";"02/07/2012";"2739,59"
"10123926";"01/04/2011";"2688,11"
"10123927";"18/01/2012";"3244,90"
"10123928";"04/10/2006";"2094,47"
"10123929";"08/02/2012";"2762,33"
"10123930";"28/07/2014";"3305,85"
"10123931";"22/04/2013";"2807,74"
"10123932";"02/04/2013";"3367,09"
"10123933";"03/05/2007";"2729,20"
"10123934";"11/02/2011";"2779,81"
"10123935";"06/10/2014";"3018,06"
"10123936";"31/07/2014";"4685,57"
"10123937";"10/05/2016";"4840,22"
"10123938";"18/12/2013";"4486,50"
"10123939";"01/08/2012";"3130,50"
"10123940";"28/08/2014";"3004,44"
"10123941";"24/03/2016";"4669,99"
"10123942";"11/12/2013";"3220,39"
"10123943";"27/11/2014";"3323,63"
"10123944";"20/12/2013";"2864,10"
"10123945";"12/11/2014";"3303,30"
